iter	Passed	Remaining
402	8754	12969
403	8777	12948
404	8796	12923
405	8815	12898
406	8833	12870
407	8853	12846
408	8871	12818
409	8891	12794
410	8911	12770
411	8930	12746
412	8950	12720
413	8969	12696
414	8990	12672
415	9009	12648
416	9029	12624
417	9048	12598
418	9067	12573
419	9088	12550
420	9106	12524
421	9126	12500
422	9145	12475
423	9163	12448
424	9182	12423
425	9199	12395
426	9218	12370
427	9238	12346
428	9256	12320
429	9276	12296
430	9298	12275
431	9326	12261
432	9348	12242
433	9371	12221
434	9393	12200
435	9415	12179
436	9440	12162
437	9459	12137
438	9478	12112
439	9498	12088
440	9516	12062
441	9536	12038
442	9555	12014
443	9575	11991
444	9594	11966
445	9616	11944
446	9635	11919
447	9655	11897
448	9676	11874
449	9697	11851
450	9716	11827
451	9736	11804
452	9756	11781
453	9777	11759
454	9798	11737
455	9818	11712
456	9837	11688
457	9857	11665
458	9879	11644
459	9904	11626
460	9927	11607
461	9948	11585
462	9969	11562
463	9991	11541
464	10010	11517
465	10031	11495
466	10050	11470
467	10068	11445
468	10087	11420
469	10108	11399
470	10136	11384
471	10164	11370
472	10190	11353
473	10213	11334
474	10236	11314
475	10254	11289
476	10277	11268
477	10300	11248
478	10329	11235
479	10359	11223
480	10388	11209
481	10419	11197
482	10446	11181
483	10479	11172
484	10502	11151
485	10531	11138
486	10554	11117
487	10575	11096
488	10595	11071
489	10615	11048
490	10635	11025
491	10653	11000
492	10674	10977
493	10694	10954
494	10715	10931
495	10734	10907
496	10753	10882
497	10773	10860
498	10793	10837
499	10814	10814
500	10834	10791
501	10855	10768
502	10872	10743
503	10892	10719
504	10912	10696
505	10931	10672
506	10951	10648
507	10967	10621
508	10983	10594
509	11001	10570
510	11019	10545
511	11041	10524
512	11059	10498
513	11078	10475
514	11098	10451
515	11117	10427
516	11136	10403
517	11155	10380
518	11174	10356
519	11194	10333
520	11213	10309
521	11232	10285
522	11250	10261
523	11270	10237
524	11289	10214
525	11307	10189
526	11325	10164
527	11343	10140
528	11364	10118
529	11382	10093
530	11401	10070
531	11421	10047
532	11438	10022
533	11458	9999
534	11479	9977
535	11501	9956
536	11518	9931
537	11536	9906
538	11554	9882
539	11574	9859
540	11593	9836
541	11613	9813
542	11631	9789
543	11649	9765
544	11666	9739
545	11685	9716
546	11703	9692
547	11723	9669
548	11742	9646
549	11761	9622
550	11779	9599
551	11799	9576
552	11816	9551
553	11836	9528
554	11853	9504
555	11871	9480
556	11889	9456
557	11909	9433
558	11930	9411
559	11950	9389
560	11969	9366
561	11988	9343
562	12006	9319
563	12023	9294
564	12047	9275
565	12066	9252
566	12084	9228
567	12101	9204
568	12121	9181
569	12140	9158
570	12159	9135
571	12180	9113
572	12200	9091
573	12219	9068
574	12237	9044
575	12256	9022
576	12273	8997
577	12292	8974
578	12313	8953
579	12331	8929
580	12351	8907
581	12370	8884
582	12386	8859
583	12404	8835
584	12425	8814
585	12444	8792
586	12461	8767
587	12478	8743
588	12495	8719
589	12512	8695
590	12531	8672
591	12551	8650
592	12568	8626
593	12586	8602
594	12606	8581
595	12623	8557
596	12643	8534
597	12661	8511
598	12679	8488
599	12696	8464
600	12714	8440
601	12733	8418
602	12754	8396
603	12774	8375
604	12795	8354
605	12814	8331
606	12833	8309
607	12852	8286
608	12872	8264
609	12893	8243
610	12915	8223
611	12938	8202
612	12961	8182
613	12987	8164
614	13009	8144
615	13031	8123
616	13053	8102
617	13078	8084
618	13102	8064
619	13122	8042
620	13141	8020
621	13160	7997
622	13177	7974
623	13198	7952
624	13218	7931
625	13237	7908
626	13261	7889
627	13281	7867
628	13301	7845
629	13322	7824
630	13342	7802
631	13365	7782
632	13386	7760
633	13406	7739
634	13426	7717
635	13443	7694
636	13461	7671
637	13480	7648
638	13501	7627
639	13521	7605
640	13542	7584
641	13561	7562
642	13580	7539
643	13596	7516
644	13616	7494
645	13637	7472
646	13656	7450
647	13674	7428
648	13691	7404
649	13709	7382
650	13727	7359
651	13744	7335
652	13760	7312
653	13780	7290
654	13800	7269
655	13820	7247
656	13838	7224
657	13857	7202
658	13875	7179
659	13895	7158
660	13915	7136
661	13932	7113
662	13952	7091
663	13971	7070
664	13992	7048
665	14011	7026
666	14029	7004
667	14049	6982
668	14069	6960
669	14087	6938
670	14105	6916
671	14124	6894
672	14142	6871
673	14160	6849
674	14181	6827
675	14198	6805
676	14218	6783
677	14235	6760
678	14253	6738
679	14271	6716
680	14293	6695
681	14311	6673
682	14329	6650
683	14349	6629
684	14367	6606
685	14386	6585
686	14402	6561
687	14423	6540
688	14446	6520
689	14465	6499
690	14484	6477
691	14503	6455
692	14521	6432
693	14541	6411
694	14561	6390
695	14579	6368
696	14599	6346
697	14619	6325
698	14633	6301
699	14650	6278
700	14670	6257
701	14689	6235
702	14709	6214
703	14729	6193
704	14749	6171
705	14769	6150
706	14789	6129
707	14811	6108
708	14830	6087
709	14851	6066
710	14873	6045
711	14892	6023
712	14913	6003
713	14935	5982
714	14961	5963
715	14982	5942
716	15004	5922
717	15028	5902
718	15051	5882
719	15071	5860
720	15089	5839
721	15112	5819
722	15133	5798
723	15154	5777
724	15178	5757
725	15199	5736
726	15218	5714
727	15239	5693
728	15257	5671
729	15274	5649
730	15296	5628
731	15315	5607
732	15333	5585
733	15353	5564
734	15374	5543
735	15391	5520
736	15410	5499
737	15428	5477
738	15448	5456
739	15468	5434
740	15487	5413
741	15510	5393
742	15529	5371
743	15552	5351
744	15572	5330
745	15593	5309
746	15614	5288
747	15632	5266
748	15653	5245
749	15673	5224
750	15692	5202
751	15712	5181
752	15733	5161
753	15752	5139
754	15771	5117
755	15791	5096
756	15809	5074
757	15829	5053
758	15851	5033
759	15871	5011
760	15896	4992
761	15916	4971
762	15935	4949
763	15953	4927
764	15971	4906
765	15989	4884
766	16011	4863
767	16029	4842
768	16047	4820
769	16066	4799
770	16086	4777
771	16108	4757
772	16140	4739
773	16162	4719
774	16186	4699
775	16210	4679
776	16232	4658
777	16258	4639
778	16282	4619
779	16298	4596
780	16322	4577
781	16343	4556
782	16363	4534
783	16381	4513
784	16400	4491
785	16416	4469
786	16435	4448
787	16454	4426
788	16473	4405
789	16493	4384
790	16510	4362
791	16529	4341
792	16547	4319
793	16563	4297
794	16581	4275
795	16599	4254
796	16618	4232
797	16633	4210
798	16649	4188
799	16671	4167
800	16690	4146
801	16708	4125
802	16727	4103
803	16745	4082
804	16764	4061
805	16782	4039
806	16802	4018
807	16821	3997
808	16840	3976
809	16862	3955
810	16880	3933
811	16895	3911
812	16916	3890
813	16932	3869
814	16952	3848
815	16971	3827
816	16993	3806
817	17015	3785
818	17037	3765
819	17062	3745
820	17081	3724
821	17100	3703
822	17121	3682
823	17138	3660
824	17156	3639
825	17175	3618
826	17195	3597
827	17217	3576
828	17239	3556
829	17260	3535
830	17276	3513
831	17295	3492
832	17312	3470
833	17330	3449
834	17349	3428
835	17366	3406
836	17382	3385
837	17402	3364
838	17422	3343
839	17440	3321
840	17460	3301
841	17478	3279
842	17495	3258
843	17516	3237
844	17533	3216
845	17548	3194
846	17565	3173
847	17583	3151
848	17601	3130
849	17619	3109
850	17635	3087
851	17653	3066
852	17670	3045
853	17690	3024
854	17707	3003
855	17726	2981
856	17744	2960
857	17762	2939
858	17781	2918
859	17800	2897
860	17817	2876
861	17836	2855
862	17856	2834
863	17876	2813
864	17893	2792
865	17911	2771
866	17928	2750
867	17946	2729
868	17965	2708
869	17983	2687
870	18002	2666
871	18022	2645
872	18043	2624
873	18062	2603
874	18079	2582
875	18099	2561
876	18119	2541
877	18139	2520
878	18162	2500
879	18188	2480
880	18207	2459
881	18228	2438
882	18248	2418
883	18270	2397
884	18288	2376
885	18307	2355
886	18324	2334
887	18342	2313
888	18357	2292
889	18375	2271
890	18393	2250
891	18411	2229
892	18429	2208
893	18448	2187
894	18468	2166
895	18489	2146
896	18507	2125
897	18525	2104
898	18543	2083
899	18563	2062
900	18580	2041
901	18599	2020
902	18616	1999
903	18633	1978
904	18651	1957
905	18670	1937
906	18687	1916
907	18703	1895
908	18722	1874
909	18740	1853
910	18758	1832
911	18776	1811
912	18793	1790
913	18811	1770
914	18827	1748
915	18844	1728
916	18863	1707
917	18881	1686
918	18897	1665
919	18915	1644
920	18931	1623
921	18949	1603
922	18965	1582
923	18981	1561
924	19000	1540
925	19018	1519
926	19035	1498
927	19052	1478
928	19069	1457
929	19085	1436
930	19102	1415
931	19120	1395
932	19136	1374
933	19154	1353
934	19170	1332
935	19191	1312
936	19209	1291
937	19227	1270
938	19247	1250
939	19266	1229
940	19284	1209
941	19305	1188
942	19325	1168
943	19348	1147
944	19365	1127
945	19387	1106
946	19407	1086
947	19427	1065
948	19444	1044
949	19459	1024
950	19473	1003
951	19492	982
952	19507	962
953	19522	941
954	19538	920
955	19552	899
956	19567	879
957	19586	858
958	19602	838
959	19618	817
960	19634	796
961	19650	776
962	19666	755
963	19681	734
964	19695	714
965	19709	693
966	19721	673
967	19735	652
968	19748	631
969	19761	611
970	19773	590
971	19785	569
972	19796	549
973	19807	528
974	19820	508
975	19833	487
976	19844	467
977	19858	446
978	19869	426
979	19881	405
980	19893	385
981	19905	364
982	19918	344
983	19929	324
984	19940	303
985	19952	283
986	19962	262
987	19974	242
988	19987	222
989	19998	202
990	20008	181
991	20019	161
992	20031	141
993	20041	120
994	20052	100
995	20063	80
996	20075	60
997	20087	40
998	20098	20
999	20110	0
6	447
981	23113	423
982	23131	400
983	23148	376
984	23165	352
985	23183	329
986	23200	305
987	23218	282
988	23236	258
989	23253	234
990	23273	211
991	23291	187
992	23307	164
993	23325	140
994	23341	117
995	23360	93
996	23377	70
997	23393	46
998	23412	23
999	23426	0
