iter	RMSE
0	0.7215590503
1	0.6720050971
2	0.6259691133
3	0.5845962858
4	0.5457877855
5	0.509635644
6	0.4764234608
7	0.4461997032
8	0.4177861547
9	0.3921590466
10	0.3679428312
11	0.3455458748
12	0.3255582967
13	0.3071281402
14	0.2902306266
15	0.2744026486
16	0.2597282761
17	0.2465327736
18	0.234470927
19	0.2241308202
20	0.2141374881
21	0.2053538181
22	0.1976813975
23	0.1906094767
24	0.1840157429
25	0.1781551331
26	0.1730351944
27	0.1681401342
28	0.1641100197
29	0.1602077234
30	0.1566895519
31	0.1535908077
32	0.1508480355
33	0.1484077001
34	0.1462831001
35	0.1443775876
36	0.1424945238
37	0.1409837022
38	0.1395661838
39	0.1381429837
40	0.1369542324
41	0.1358881981
42	0.1348637372
43	0.1339749075
44	0.1332899453
45	0.1323965425
46	0.1317564517
47	0.1311396712
48	0.1305320825
49	0.1300659167
50	0.1294852618
51	0.1288938115
52	0.1283607861
53	0.127877441
54	0.1275336875
55	0.1272522415
56	0.1267136862
57	0.1261807415
58	0.125848976
59	0.1253115763
60	0.1250607229
61	0.1246861081
62	0.1242806357
63	0.1239300536
64	0.1237092759
65	0.1234049902
66	0.1231802822
67	0.1227646529
68	0.1226163558
69	0.1222478148
70	0.1217753658
71	0.1215748173
72	0.1211179231
73	0.1207306032
74	0.1204605526
75	0.1201209863
76	0.1199238639
77	0.1198289
78	0.1196739884
79	0.1192935828
80	0.1191913724
81	0.1190498658
82	0.1188157952
83	0.1186740451
84	0.118567832
85	0.1183924942
86	0.11830249
87	0.118148851
88	0.11783997
89	0.1176583956
90	0.1174161145
91	0.1172693035
92	0.1171350672
93	0.1169911994
94	0.1166904172
95	0.1164385387
96	0.1162419836
97	0.1161185957
98	0.1159613197
99	0.1158155276
100	0.1156075386
101	0.1154281353
102	0.115262508
103	0.1149612441
104	0.1147309401
105	0.114586625
106	0.1142191741
107	0.1139896305
108	0.1137751108
109	0.1136157784
110	0.1134950793
111	0.1133885352
112	0.1132952688
113	0.1132083103
114	0.1130963007
115	0.1129351824
116	0.1126038928
117	0.112440179
